name,portrait_url,game,gender,weapon,starting_class,movement_type,hair_color,is_active,promotion_tier
Julian,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/julian.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Thief,Infantry,Red,TRUE,Unpromoted
Lena,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/lena.png,Shadow Dragon|New Mystery of the Emblem,Female,Staff,Cleric,Infantry,Red,TRUE,Unpromoted
Navarre,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/navarre.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Myrmidon,Infantry,Black,TRUE,Unpromoted
Merric,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/merric.png,Shadow Dragon|New Mystery of the Emblem,Male,Tome,Mage,Infantry,Green,TRUE,Unpromoted
Matthis,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/matthis.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Pink,TRUE,Unpromoted
Wolf,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/wolf.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Bow,Horseman,Cavalry,Purple,TRUE,Promoted
Sedgar,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/sedgar.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Bow,Horseman,Cavalry,Green,TRUE,Promoted
Roshea,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/roshea.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Purple,TRUE,Unpromoted
Vyland,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/vyland.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Red,TRUE,Unpromoted
Hardin,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/hardin.png,Shadow Dragon,Male,Sword|Lance,Cavalier,Cavalry,Brown,TRUE,Unpromoted
Wendell,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/wendell.png,Shadow Dragon|New Mystery of the Emblem,Male,Tome|Staff,Sage,Infantry,White,TRUE,Promoted
Rickard,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/rickard.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Thief,Infantry,Blue,TRUE,Unpromoted
Athena,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/athena.png,Shadow Dragon|New Mystery of the Emblem,Female,Sword,Myrmidon,Infantry,Black,TRUE,Unpromoted
Bantu,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/bantu.png,Shadow Dragon|New Mystery of the Emblem,Male,Dragonstone,Manakete,Infantry,Bald,TRUE,Unique
Caesar,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/caesar.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Mercenary,Infantry,Yellow,TRUE,Unpromoted
Radd,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/radd.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword,Myrmidon,Infantry,Red,TRUE,Unpromoted
Roger,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/roger.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Pink,TRUE,Unpromoted
Jeorge,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/jeorge.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Sniper,Infantry,Yellow,TRUE,Promoted
Maria,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/maria.png,Shadow Dragon|New Mystery of the Emblem,Female,Staff,Cleric,Infantry,Red,TRUE,Unpromoted
Minerva,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/minerva.png,Shadow Dragon|New Mystery of the Emblem,Female,Lance|Axe,Dracoknight,Flying,Red,TRUE,Promoted
Linde,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/linde.png,Shadow Dragon|New Mystery of the Emblem,Female,Tome,Mage,Infantry,Brown,TRUE,Unpromoted
Jake,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/jake.png,Shadow Dragon|New Mystery of the Emblem,Male,Ballista,Ballistician,Ballistician,Purple,TRUE,Unique
Dolph,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/dolph.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Bald,TRUE,Unpromoted
Macellan,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/macellan.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance,Knight,Armored,Bald,TRUE,Unpromoted
Tomas,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/tomas.png,Shadow Dragon|New Mystery of the Emblem,Male,Bow,Archer,Infantry,Green,TRUE,Unpromoted
Boah,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/boah.png,Shadow Dragon,Male,Tome|Staff,Bishop,Infantry,White,TRUE,Promoted
Midia,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/midia.png,Shadow Dragon|New Mystery of the Emblem,Female,Sword|Lance,Paladin,Cavalry,Blue,TRUE,Promoted
Horace,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/horace.png,Shadow Dragon|New Mystery of the Emblem,Male,Lance|Bow,General,Armored,Blue,TRUE,Promoted
Beck,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/beck.png,Shadow Dragon|New Mystery of the Emblem,Male,Ballista,Ballistician,Ballistician,Brown,TRUE,Unique
Astram,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/astram.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Axe,Hero,Infantry,Yellow,TRUE,Promoted
Catria,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/catria.png,Shadow Dragon|New Mystery of the Emblem|Echoes: Shadows of Valentia,Female,Lance,Pegasus Knight,Flying,Blue,TRUE,Unpromoted
Palla,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/palla.png,Shadow Dragon|New Mystery of the Emblem|Echoes: Shadows of Valentia,Female,Lance,Pegasus Knight,Flying,Green,TRUE,Unpromoted
Arran,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/arran.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Lance,Paladin,Cavalry,Yellow,TRUE,Promoted
Samson,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/samson.png,Shadow Dragon|New Mystery of the Emblem,Male,Sword|Axe,Hero,Infantry,Blue,TRUE,Promoted
Xane,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/xane.png,Shadow Dragon|New Mystery of the Emblem,Male,None,Freelancer,Infantry,Red,TRUE,Unique
Etzel,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/etzel.png,Shadow Dragon|New Mystery of the Emblem,Male,Tome|Staff,Sorcerer,Infantry,Red,TRUE,Promoted
Est,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/est.png,Shadow Dragon|New Mystery of the Emblem|Echoes: Shadows of Valentia,Female,Lance,Pegasus Knight,Flying,Pink,TRUE,Unpromoted
Tiki,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/tiki.png,Shadow Dragon|New Mystery of the Emblem|Awakening,Female,Dragonstone,Manakete,Infantry,Green,TRUE,Unique
Lorenz (Shadow Dragon),https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/lorenz(shadow%20dragon).png,Shadow Dragon,Male,Lance|Bow,General,Armored,White,TRUE,Promoted
Ymir,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/ymir.png,Shadow Dragon|New Mystery of the Emblem,Male,Axe|Bow,Warrior,Infantry,Purple,TRUE,Promoted
Elice,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/elice.png,Shadow Dragon|New Mystery of the Emblem,Female,Staff,Cleric,Infantry,Blue,TRUE,Unpromoted
Gotoh,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/gotoh.png,Shadow Dragon,Male,Tome|Staff,Sage,Infantry,White,TRUE,Promoted
Nagi,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/nagi.png,Shadow Dragon|New Mystery of the Emblem,Female,Dragonstone,Manakete,Infantry,Green,TRUE,Unique
Luke,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/luke.png,New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Green,TRUE,Unpromoted
Roderick,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/roderick.png,New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Brown,TRUE,Unpromoted
Cecil,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/cecil.png,New Mystery of the Emblem,Female,Sword|Lance,Cavalier,Cavalry,Red,TRUE,Unpromoted
Ryan,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/ryan.png,New Mystery of the Emblem,Male,Bow,Archer,Infantry,Green,TRUE,Unpromoted
Marisha,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/marisha.png,New Mystery of the Emblem,Female,Staff,Cleric,Infantry,Blue,TRUE,Unpromoted
Warren,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/warren.png,New Mystery of the Emblem,Male,Bow,Hunter,Infantry,Yellow,TRUE,Unpromoted
Yuliya,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/yuliya.png,New Mystery of the Emblem,Female,Staff,Cleric,Infantry,Yellow,TRUE,Unpromoted
Jubelo,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/jubelo.png,New Mystery of the Emblem,Male,Tome,Mage,Infantry,Yellow,TRUE,Unpromoted
Sirius,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/sirius.png,New Mystery of the Emblem,Male,Sword|Lance,Paladin,Cavalry,Yellow,TRUE,Promoted
Samuel,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/samuel.png,New Mystery of the Emblem,Male,Sword,Myrmidon,Infantry,Brown,TRUE,Unpromoted
Phina,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/phina.png,New Mystery of the Emblem,Female,Sword,Dancer,Infantry,Red,TRUE,Unique
Arlen,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/arlen.png,New Mystery of the Emblem,Male,Tome,Mage,Infantry,Yellow,TRUE,Unpromoted
Dice,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/dice.png,New Mystery of the Emblem,Male,Axe,Fighter,Infantry,Brown,TRUE,Unpromoted
Malice,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/malice.png,New Mystery of the Emblem,Female,Sword,Myrmidon,Infantry,Purple,TRUE,Unpromoted
Roberto,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/roberto.png,New Mystery of the Emblem,Male,Sword|Bow,Horseman,Cavalry,Yellow,FALSE,Promoted
Belf,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/belf.png,New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Black,FALSE,Unpromoted
Reiden,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/reiden.png,New Mystery of the Emblem,Male,Sword|Lance,Cavalier,Cavalry,Brown,FALSE,Unpromoted
Katarina,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/katarina.png,New Mystery of the Emblem,Female,Tome|Staff,Sage,Infantry,Purple,TRUE,Promoted
Sheena,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/sheena.png,New Mystery of the Emblem,Female,Lance|Bow,General,Armored,Brown,TRUE,Promoted
Frost,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/frost.png,New Mystery of the Emblem,Male,Tome|Staff,Bishop,Infantry,White|Bald,FALSE,Promoted
Michalis,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/michalis.png,New Mystery of the Emblem,Male,Lance|Axe,Dracoknight,Flying,Red,TRUE,Promoted
Nyna,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/nyna.png,New Mystery of the Emblem,Female,Tome|Staff,Bishop,Infantry,Yellow,TRUE,Promoted
Alm,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/alm.png,Echoes: Shadows of Valentia,Male,Sword,Fighter(Alm),Infantry,Green,TRUE,Unpromoted
Lukas,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/lukas.png,Echoes: Shadows of Valentia,Male,Lance,Soldier,Infantry,Red,TRUE,Unpromoted
Gray,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/gray.png,Echoes: Shadows of Valentia,Male,Sword,Villager,Infantry,Black,TRUE,Trainee
Tobin,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/tobin.png,Echoes: Shadows of Valentia,Male,Sword,Villager,Infantry,Brown,TRUE,Trainee
Kliff,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/kliff.png,Echoes: Shadows of Valentia,Male,Sword,Villager,Infantry,White,TRUE,Trainee
Faye,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/faye.png,Echoes: Shadows of Valentia,Female,Sword,Villager,Infantry,Yellow,TRUE,Trainee
Silque,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/silque.png,Echoes: Shadows of Valentia,Female,White Magic|Black Magic,Cleric,Infantry,Blue,TRUE,Unpromoted
Clair,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/clair.png,Echoes: Shadows of Valentia,Female,Lance,Pegasus Knight,Flying,Yellow,TRUE,Unpromoted
Clive,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/clive.png,Echoes: Shadows of Valentia,Male,Lance,Cavalier,Cavalry,Yellow,TRUE,Unpromoted
Forsyth,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/forsyth.png,Echoes: Shadows of Valentia,Male,Lance,Soldier,Infantry,Green,TRUE,Unpromoted
Python,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/python.png,Echoes: Shadows of Valentia,Male,Bow,Archer,Infantry,Blue,TRUE,Unpromoted
Luthier,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/luthier.png,Echoes: Shadows of Valentia,Male,Black Magic,Mage,Infantry,Orange|Yellow,TRUE,Unpromoted
Mathilda,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/mathilda.png,Echoes: Shadows of Valentia,Female,Lance,Paladin,Cavalry,Yellow,TRUE,Promoted
Delthea,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/delthea.png,Echoes: Shadows of Valentia,Female,Black Magic,Mage,Infantry,Brown,TRUE,Unpromoted
Tatiana,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/tatiana.png,Echoes: Shadows of Valentia,Female,White Magic|Black Magic,Saint,Infantry,Turquoise,TRUE,Promoted
Zeke,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/zeke.png,Echoes: Shadows of Valentia,Male,Lance,Gold Knight,Cavalry,Yellow,TRUE,Promoted
Mycen,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/mycen.png,Echoes: Shadows of Valentia,Male,Lance,Gold Knight,Cavalry,Gray,TRUE,Promoted
Celica,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/celica.png,Echoes: Shadows of Valentia,Female,Black Magic|Sword|White Magic,Priestess(Celica),Infantry,Orange,TRUE,Unpromoted
Mae,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/mae.png,Echoes: Shadows of Valentia,Female,Black Magic,Mage,Infantry,Pink,TRUE,Unpromoted
Boey,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/boey.png,Echoes: Shadows of Valentia,Male,Black Magic,Mage,Infantry,White,TRUE,Unpromoted
Genny,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/genny.png,Echoes: Shadows of Valentia,Female,White Magic|Black Magic,Cleric,Infantry,Pink,TRUE,Unpromoted
Saber,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/saber.png,Echoes: Shadows of Valentia,Male,Sword,Mercenary,Infantry,Orange,TRUE,Unpromoted
Valbar,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/valbar.png,Echoes: Shadows of Valentia,Male,Lance,Knight,Armored,Brown,TRUE,Promoted
Kamui,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/kamui.png,Echoes: Shadows of Valentia,Male,Lance,Mercenary,Infantry,Black,TRUE,Unpromoted
Leon,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/leon.png,Echoes: Shadows of Valentia,Male,Bow,Archer,Infantry,Purple,TRUE,Unpromoted
Atlas,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/atlas.png,Echoes: Shadows of Valentia,Male,Sword,Villager,Infantry,Gray,TRUE,Trainee
Jesse,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/jesse.png,Echoes: Shadows of Valentia,Male,Sword,Mercenary,Infantry,Yellow,TRUE,Unpromoted
Sonya,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/sonya.png,Echoes: Shadows of Valentia,Female,Black Magic,Mage,Infantry,Purple,TRUE,Unpromoted
Deen (Echoes),https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/deen(echoes).png,Echoes: Shadows of Valentia,Male,Sword,Myrmidon,Infantry,Purple,TRUE,Unpromoted
Nomah,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/nomah.png,Echoes: Shadows of Valentia,Male,Black Magic|White Magic,Sage,Infantry,White,TRUE,Promoted
Conrad,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/conrad.png,Echoes: Shadows of Valentia,Male,Lance,Paladin,Cavalry,Orange,TRUE,Promoted
Emma,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/emma.png,Echoes: Shadows of Valentia,Female,Lance,Falcon Knight,Flying,Brown,FALSE,Promoted
Randal,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/randal.png,Echoes: Shadows of Valentia,Male,Lance,Paladin,Cavalry,Green,FALSE,Promoted
Yuzu,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/yuzu.png,Echoes: Shadows of Valentia,Female,Sword|Black Magic|White Magic,Priestess,Infantry,Purple,FALSE,Promoted
Shade,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/shade.png,Echoes: Shadows of Valentia,Female,Black Magic|White Magic,Saint,Infantry,Gray,FALSE,Promoted
Sigurd,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/sigurd.png,Genealogy of the Holy War,Male,Sword|Lance,Knight Lord,Cavalry,Blue,TRUE,Promoted
Naoise,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/naoise.png,Genealogy of the Holy War,Male,Sword|Lance,Cavalier,Cavalry,Yellow,TRUE,Unpromoted
Alec,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/alec.png,Genealogy of the Holy War,Male,Sword|Lance,Cavalier,Cavalry,Green,TRUE,Unpromoted
Arden,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/arden.png,Genealogy of the Holy War,Male,Sword,Sword Armor,Armored,Green,TRUE,Unpromoted
Azelle,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/azelle.png,Genealogy of the Holy War,Male,Fire Magic|Thunder Magic|Wind Magic,Mage,Infantry,Red,TRUE,Unpromoted
Lex,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/lex.png,Genealogy of the Holy War,Male,Axe,Axe Knight,Cavalry,Blue,TRUE,Unpromoted
Quan,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/quan.png,Genealogy of the Holy War,Male,Lance,Duke Knight,Cavalry,Brown,TRUE,Promoted
Finn,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/finn.png,Genealogy of the Holy War|Thracia 776,Male,Lance,Lance Knight,Cavalry,Blue,TRUE,Unpromoted
Ethlyn,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/ethlyn.png,Genealogy of the Holy War,Female,Sword|Staff,Troubadour,Cavalry,Pink,TRUE,Unpromoted
Midir,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/midir.png,Genealogy of the Holy War,Male,Bow,Arch Knight,Cavalry,Green,TRUE,Unpromoted
Dew,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/dew.png,Genealogy of the Holy War,Male,Sword,Thief,Infantry,Yellow,TRUE,Unpromoted
Edain,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/edain.png,Genealogy of the Holy War,Female,Staff,Priest,Infantry,Yellow,TRUE,Unpromoted
Ayra,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/ayra.png,Genealogy of the Holy War,Female,Sword,Sword Fighter,Infantry,Black,TRUE,Unpromoted
Deirdre,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/deirdre.png,Genealogy of the Holy War,Female,Light Magic|Staff,Shaman(Genealogy),Infantry,Purple,TRUE,Unpromoted
Jamke,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/jamke.png,Genealogy of the Holy War,Male,Bow,Bow Fighter,Infantry,Brown,TRUE,Unpromoted
Chulainn,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/chulainn.png,Genealogy of the Holy War,Male,Sword,Sword Fighter,Infantry,Yellow,TRUE,Unpromoted
Lachesis,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/lachesis.png,Genealogy of the Holy War,Female,Sword|Staff,Princess,Infantry,Yellow,TRUE,Unpromoted
Beowolf,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/beowolf.png,Genealogy of the Holy War,Male,Sword,Free Knight,Cavalry,Yellow,TRUE,Unpromoted
Lewyn,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/lewyn.png,Genealogy of the Holy War,Male,Fire Magic|Thunder Magic|Wind Magic|Light Magic,Bard(Mage),Infantry,Green,TRUE,Unpromoted
Silvia,https://snbhejdrbrhzprvkzgdy.supabase.co/storage/v1/object/public/portraits/silvia.png,Genealogy of the Holy War,Female,Sword,Dancer,Infantry,Green,TRUE,Unique
